Age,Ba138Ca,BaCa,SrCa,UCa
1800.184,0.00363563,0.00353502,8.83546,0.00111801
1800.204,0.00354284,0.00358951,8.81712,0.00114014
1800.224,0.00359991,0.00357495,8.90801,0.00118172
1800.244,0.00362208,0.00352489,8.75395,0.00107435
1800.264,0.00361025,0.00360057,8.71741,0.00106535
1800.283,0.00372895,0.00366744,8.84748,0.00113009
1800.303,0.00361004,0.00357136,8.93999,0.00124279
1800.323,0.00353434,0.00358212,8.94299,0.00125151
1800.343,0.00360756,0.00357729,8.97088,0.00127592
1800.363,0.00344758,0.00354456,8.94832,0.00124735
1800.383,0.00347786,0.00363398,8.93228,0.00125435
1800.403,0.00344059,0.0034625,8.98929,0.00128924
1800.423,0.00375027,0.00370322,9.10202,0.00132646
1800.443,0.00373874,0.00364042,9.14212,0.00131978
1800.462,0.00360576,0.00367961,8.9682,0.00128971
1800.482,0.00379188,0.00377442,9.0005,0.0012152
1800.502,0.00378102,0.00367562,8.80829,0.00121083
1800.522,0.00364919,0.00359078,8.96136,0.00127334
1800.542,0.0036086,0.00372481,8.85385,0.00130595
1800.562,0.0036852,0.00386446,8.92688,0.00124451
1800.582,0.00357971,0.00364856,9.20269,0.00149343
1800.602,0.00324321,0.00334357,9.1062,0.00145992
1800.614,0.00332961,0.00342653,8.94494,0.00133397
1800.627,0.0033544,0.00333726,9.0052,0.00134658
1800.639,0.00345669,0.0034037,8.89582,0.00123473
1800.652,0.00340252,0.00338417,8.79,0.00123959
1800.664,0.00347341,0.00348727,8.85338,0.00122525
1800.677,0.00371657,0.0036561,8.7636,0.00116371
1800.69,0.00360924,0.00346922,8.65823,0.00107643
1800.702,0.00370809,0.00380224,8.71593,0.00103653
1800.715,0.00388031,0.00390578,8.84424,0.00117779
1800.727,0.0036212,0.00365328,8.65314,0.00113407
1800.74,0.00384294,0.003793,9.0142,0.00132763
1800.752,0.00353857,0.00367645,8.83861,0.00125667
1800.765,0.00357821,0.00373217,8.72506,0.00114831
